Horodatage; IDC 12102954 | Consommation | EA, Courbe Origine, Pertes incluses
04/01/2022 08:30:00;337,000
04/01/2022 08:40:00;384,000
04/01/2022 08:50:00;435,000
04/01/2022 09:00:00;445,000
04/01/2022 09:10:00;425,000
04/01/2022 09:20:00;403,000
04/01/2022 09:30:00;447,000
04/01/2022 09:40:00;461,000
04/01/2022 09:50:00;400,000
04/01/2022 10:00:00;370,000
04/01/2022 10:10:00;372,000
04/01/2022 10:20:00;391,000
04/01/2022 10:30:00;381,000
04/01/2022 10:40:00;395,000
04/01/2022 10:50:00;390,000
04/01/2022 11:00:00;342,000
04/01/2022 11:10:00;320,000
04/01/2022 11:20:00;333,000
04/01/2022 11:30:00;348,000
04/01/2022 11:40:00;328,000
04/01/2022 11:50:00;395,000
04/01/2022 12:00:00;376,000
04/01/2022 12:10:00;333,000
04/01/2022 12:20:00;344,000
04/01/2022 12:30:00;332,000
04/01/2022 12:40:00;315,000
04/01/2022 12:50:00;325,000
04/01/2022 13:00:00;325,000
04/01/2022 13:10:00;305,000
04/01/2022 13:20:00;312,000
04/01/2022 13:30:00;304,000
04/01/2022 13:40:00;320,000
04/01/2022 13:50:00;295,000
04/01/2022 14:00:00;281,000
04/01/2022 14:10:00;283,000
04/01/2022 14:20:00;298,000
04/01/2022 14:30:00;295,000
04/01/2022 14:40:00;293,000
04/01/2022 14:50:00;316,000
04/01/2022 15:00:00;314,000
04/01/2022 15:10:00;318,000
04/01/2022 15:20:00;332,000
04/01/2022 15:30:00;309,000
04/01/2022 15:40:00;306,000
04/01/2022 15:50:00;291,000
04/01/2022 16:00:00;308,000
04/01/2022 16:10:00;327,000
04/01/2022 16:20:00;329,000
04/01/2022 16:30:00;300,000
04/01/2022 16:40:00;290,000
04/01/2022 16:50:00;297,000
04/01/2022 17:00:00;288,000
04/01/2022 17:10:00;295,000
04/01/2022 17:20:00;285,000
04/01/2022 17:30:00;259,000
04/01/2022 17:40:00;253,000
04/01/2022 17:50:00;231,000
04/01/2022 18:00:00;187,000
04/01/2022 18:10:00;168,000
04/01/2022 18:20:00;153,000
04/01/2022 18:30:00;153,000
04/01/2022 18:40:00;156,000
04/01/2022 18:50:00;163,000
04/01/2022 19:00:00;164,000
04/01/2022 19:10:00;173,000
04/01/2022 19:20:00;160,000
04/01/2022 19:30:00;148,000
04/01/2022 19:40:00;139,000
04/01/2022 19:50:00;138,000
04/01/2022 20:00:00;136,000
04/01/2022 20:10:00;138,000
04/01/2022 20:20:00;138,000
04/01/2022 20:30:00;136,000
04/01/2022 20:40:00;131,000
04/01/2022 20:50:00;125,000
04/01/2022 21:00:00;126,000
04/01/2022 21:10:00;123,000
04/01/2022 21:20:00;127,000
04/01/2022 21:30:00;126,000
04/01/2022 21:40:00;122,000
04/01/2022 21:50:00;121,000
04/01/2022 22:00:00;118,000
04/01/2022 22:10:00;117,000
04/01/2022 22:20:00;112,000
04/01/2022 22:30:00;115,000
04/01/2022 22:40:00;113,000
04/01/2022 22:50:00;113,000
04/01/2022 23:00:00;113,000
04/01/2022 23:10:00;113,000
04/01/2022 23:20:00;112,000
04/01/2022 23:30:00;107,000
04/01/2022 23:40:00;106,000
04/01/2022 23:50:00;109,000
